train_id,train_number,train_name,train_type
1,107,"SWV-MAO-VLNK",SF
2,108,"VLNK-MAO-SWV",SF
3,128,"MAO-KOP SPEC",SF
4,290,"PALACE ON WH",SF
5,401,"BSB BHARATDA",SF
6,421,"LKO-SVDK FTR",SF
7,422,"SVDK-LKO FTR",SF
8,477,"FTR TRAIN NO",SF
9,502,"RJPB-UMB FTR",SF
10,504,"PNBE-BTI FTR",SF
11,506,"PNBE-PTA FTR",SF
12,557,"RSD-PJP BSF",SF
13,604,"PNBE-ASR FTR",SF
14,1011,"CSMT-NGP SF",SF
15,1037,"LTT-SWV SPL",SF
16,1038,"SWV-LTT SPL",SF
17,1045,"LTT-KRMI SPL",SF
18,1119,"AJNI-KRMI SP",SF
19,1120,"KRMI-AJNI SP",SF
20,1122,"KRMI-CSMT SP",SF
21,1196,"NGP-KRMI SPL",SF
22,1301,"PUNE-MAJN WE",SF
23,1302,"MAJN-PUNE WE",SF
24,1442,"DSJ-KK MTY S",SF
25,1655,"PUNE-JBP SPL",SF
26,1656,"JBP-PUNE SPL",SF
27,1705,"BDTS-JBP SF",SF
28,1706,"JBP-BDTS SF",SF
29,1707,"JBP-ATT BI-W",SF
30,1708,"ATT-JBP BI-W",SF
31,2025,"CSMT-KRMI SF",SF
32,2026,"KRMI-CSMT SF",SF
33,2191,"JBP-SRC SF S",SF
34,2192,"SRC-JBP SF S",SF
35,2195,"REWA-BPL SF",SF
36,2196,"BPL-REWA SF",SF
37,2515,"TVC-SCL SPL",SF
38,2651,"PLNI-POY EXP",EXP
39,2652,"POY-PLNI EXP",EXP
40,2731,"HYB-JP HSP",SF
41,2732,"JP-HYB SPECI",SF
42,2821,"PUNE-SRC AC",SF
43,2822,"SRC-PUNE  AC",SF
44,2833,"RJT-SRC SF A",SF
45,2834,"SRC-RJT SF A",SF
46,2841,"SRC MAS SPL",SF
47,2842,"MAS SRC SPL",SF
48,2845,"PUNE HTE SPL",SF
49,2846,"HTE-PUNE SPL",SF
50,3101,"KOAA PURI SP",SF
51,3102,"PURI KOAA SP",SF
52,3301,"ASN-DHN MEMU",MEMU
53,3302,"DHN-ASN MEMU",MEMU
54,3305,"DHN-KUSUNDA",SF
55,3306,"KUSUNDA-DHN",SF
56,3307,"SZE-PLJE MEM",SF
