train_id,station_id,arrival_time,departure_time,stop_order
1,7322,00:00:00,10:25:00,1
1,7473,11:06:00,11:08:00,2
1,4007,11:28:00,11:30:00,3
1,4519,12:10:00,00:00:00,4
2,4519,00:00:00,20:30:00,1
2,4007,21:04:00,21:06:00,2
2,7473,21:26:00,21:28:00,3
2,7322,22:25:00,00:00:00,4
3,4519,19:40:00,19:40:00,1
3,4007,20:18:00,20:20:00,2
3,7473,20:40:00,20:42:00,3
3,7322,21:16:00,21:18:00,4
3,4152,21:38:00,21:40:00,5
3,6995,21:54:00,21:56:00,6
3,3722,22:18:00,22:20:00,7
3,7871,22:40:00,22:42:00,8
3,6216,22:56:00,22:58:00,9
3,6404,23:52:00,23:57:00,10
3,6745,00:34:00,00:36:00,11
3,1511,01:10:00,01:12:00,12
3,3592,01:52:00,01:54:00,13
3,4888,04:00:00,04:02:00,14
3,6435,04:55:00,05:00:00,15
3,5967,06:20:00,06:25:00,16
3,3674,07:40:00,07:45:00,17
3,4410,08:30:00,08:33:00,18
3,6157,10:30:00,10:45:00,19
3,7231,13:42:00,13:45:00,20
3,5006,16:25:00,16:35:00,21
3,3904,17:45:00,17:45:00,22
4,2162,18:30:00,18:30:00,1
4,2360,03:45:00,07:45:00,2
4,3260,08:00:00,11:55:00,3
4,2106,18:00:00,20:00:00,4
4,7313,04:45:00,08:40:00,5
4,1662,00:05:00,02:00:00,6
4,7771,08:00:00,11:00:00,7
4,3310,09:15:00,13:00:00,8
4,4576,07:00:00,10:50:00,9
4,2325,22:00:00,22:55:00,10
4,1224,05:00:00,08:45:00,11
4,3002,11:00:00,11:30:00,12
4,73,19:00:00,19:30:00,13
4,2162,02:30:00,02:30:00,14
5,365,21:30:00,21:30:00,1
5,4864,01:20:00,01:30:00,2
5,1188,05:20:00,05:30:00,3
5,3877,07:30:00,07:35:00,4
5,3146,14:55:00,15:05:00,5
5,1632,19:10:00,19:15:00,6
5,4373,23:50:00,23:55:00,7
5,468,01:15:00,01:20:00,8
5,379,04:45:00,04:50:00,9
5,6771,07:10:00,07:15:00,10
5,3242,08:00:00,08:05:00,11
5,1168,10:00:00,10:00:00,12
6,4373,23:00:00,23:00:00,1
6,2317,03:03:00,03:30:00,2
6,4062,06:00:00,06:30:00,3
6,571,09:42:00,09:47:00,4
6,7273,08:00:00,08:00:00,5
7,7273,11:45:00,11:45:00,1
7,571,03:25:00,03:30:00,2
7,4062,06:35:00,07:05:00,3
7,2317,09:30:00,09:35:00,4
7,4373,14:30:00,14:30:00,5
8,7176,12:10:00,12:10:00,1
8,2952,13:55:00,14:25:00,2
8,1001,15:55:00,16:20:00,3
8,6438,17:38:00,17:40:00,4
8,2162,20:13:00,20:15:00,5
8,1632,05:30:00,05:35:00,6
8,4675,12:40:00,12:50:00,7
8,4675,16:10:00,16:20:00,8
8,1632,21:00:00,21:05:00,9
8,2162,07:13:00,07:15:00,10
8,6438,09:43:00,09:45:00,11
8,1001,11:05:00,11:35:00,12
8,2952,13:10:00,13:40:00,13
8,7176,15:20:00,15:20:00,14
9,6338,10:30:00,10:30:00,1
9,4675,14:00:00,14:10:00,2
9,1632,20:30:00,20:35:00,3
9,2162,04:20:00,04:45:00,4
9,7022,05:50:00,05:55:00,5
9,5955,06:35:00,06:40:00,6
9,4170,07:25:00,07:30:00,7
9,3689,08:05:00,08:10:00,8
9,7805,09:30:00,09:30:00,9
10,5937,09:00:00,09:00:00,1
10,4675,12:30:00,12:40:00,2
10,1230,10:00:00,10:00:00,3
11,5937,14:15:00,14:15:00,1
11,4675,18:10:00,18:15:00,2
11,6106,15:45:00,15:45:00,3
12,7835,23:30:00,23:30:00,1
12,5853,11:00:00,11:00:00,2
13,5937,12:30:00,12:30:00,1
13,4675,16:20:00,16:30:00,2
13,322,16:00:00,16:00:00,3
14,1714,00:20:00,00:20:00,1
14,2131,00:37:00,00:40:00,2
14,7602,01:07:00,01:10:00,3
14,4256,01:32:00,01:35:00,4
14,3011,03:40:00,03:45:00,5
14,5390,04:27:00,04:30:00,6
14,4864,05:27:00,05:30:00,7
14,3189,07:08:00,07:10:00,8
14,1188,07:35:00,07:45:00,9
14,4799,08:18:00,08:20:00,10
14,6685,08:58:00,09:00:00,11
14,133,09:25:00,09:28:00,12
14,5217,10:02:00,10:05:00,13
14,509,11:02:00,11:05:00,14
14,2040,11:41:00,11:42:00,15
14,5905,11:58:00,11:59:00,16
14,8086,12:32:00,12:35:00,17
14,5341,14:20:00,14:20:00,18
15,4464,01:10:00,01:10:00,1
15,7602,01:33:00,01:35:00,2
15,5967,02:10:00,02:13:00,3
15,6435,03:53:00,04:00:00,4
15,3592,05:06:00,05:08:00,5
15,1511,05:30:00,05:40:00,6
15,6404,06:55:00,07:00:00,7
15,3722,09:05:00,09:07:00,8
15,4152,09:32:00,09:34:00,9
15,7322,10:30:00,10:30:00,10
16,7322,14:05:00,14:05:00,1
16,4152,14:57:00,14:59:00,2
16,3722,15:28:00,15:30:00,3
16,6404,17:17:00,17:22:00,4
16,1511,18:20:00,18:30:00,5
16,3592,18:52:00,18:54:00,6
16,6435,21:30:00,21:35:00,7
16,5967,22:40:00,22:43:00,8
16,7602,23:20:00,23:25:00,9
16,4464,00:20:00,00:20:00,10
17,4464,01:10:00,01:10:00,1
17,7602,01:33:00,01:35:00,2
17,5967,02:10:00,02:13:00,3
17,6435,03:53:00,04:00:00,4
17,3592,05:06:00,05:08:00,5
17,1511,05:30:00,05:40:00,6
17,6404,06:55:00,07:00:00,7
17,3722,09:05:00,09:07:00,8
17,4152,09:32:00,09:34:00,9
17,7473,10:34:00,10:36:00,10
17,4007,11:00:00,11:00:00,11
18,126,19:50:00,19:50:00,1
18,8086,20:50:00,20:53:00,2
18,5905,21:15:00,21:18:00,3
18,2040,21:34:00,21:35:00,4
18,509,22:37:00,22:40:00,5
18,133,23:42:00,23:45:00,6
18,6685,00:13:00,00:15:00,7
18,4799,00:53:00,00:55:00,8
18,1188,01:50:00,02:00:00,9
18,3189,02:28:00,02:30:00,10
18,1715,03:28:00,03:30:00,11
18,4864,04:28:00,04:30:00,12
18,5390,05:28:00,05:30:00,13
18,3011,06:50:00,07:05:00,14
18,4256,09:11:00,09:13:00,15
18,5967,10:10:00,10:15:00,16
18,6435,12:55:00,13:00:00,17
18,3592,14:10:00,14:12:00,18
18,1511,14:42:00,14:44:00,19
18,6404,16:10:00,16:15:00,20
18,3722,17:54:00,17:56:00,21
18,4152,18:20:00,18:22:00,22
18,7473,19:34:00,19:36:00,23
18,4007,20:30:00,20:30:00,24
19,4007,21:30:00,21:30:00,1
19,7473,21:46:00,21:48:00,2
19,4152,22:40:00,22:42:00,3
19,3722,23:08:00,23:10:00,4
19,6404,01:05:00,01:10:00,5
19,1511,02:30:00,02:32:00,6
19,3592,03:08:00,03:10:00,7
19,6435,05:00:00,05:05:00,8
19,5967,06:20:00,06:25:00,9
19,4256,07:33:00,07:35:00,10
19,3011,09:25:00,09:40:00,11
19,5390,10:20:00,10:22:00,12
19,4864,11:15:00,11:17:00,13
19,1715,12:18:00,12:20:00,14
19,3189,13:18:00,13:20:00,15
19,1188,13:45:00,13:55:00,16
19,4799,14:33:00,14:35:00,17
19,6685,15:08:00,15:10:00,18
19,133,15:40:00,15:43:00,19
19,509,17:32:00,17:35:00,20
19,2040,18:09:00,18:10:00,21
19,5905,18:24:00,18:27:00,22
19,8086,19:00:00,19:03:00,23
19,126,22:00:00,22:00:00,24
20,4007,22:30:00,22:30:00,1
20,7473,22:44:00,22:46:00,2
20,7322,23:18:00,23:20:00,3
20,4152,23:38:00,23:40:00,4
20,3722,00:10:00,00:12:00,5
20,6404,01:55:00,02:00:00,6
